name,f1 spacy,precision spacy,recall spacy,f1 nltk,precision nltk,recall nltk,f1 spacy new,precision spacy new,recall spacy new,f1 wikidata,precision wikidata,recall wikidata
John Tyndall,0.7207207207207208,0.6060606060606061,0.8888888888888888,0.5964912280701755,0.4927536231884058,0.7555555555555555,0.6842105263157895,0.5652173913043478,0.8666666666666667,0.8955223880597014,0.9090909090909091,0.8823529411764706
Charles Howard Hinton,0.8470588235294118,0.8,0.9,0.7469879518072289,0.7209302325581395,0.775,0.8192771084337349,0.7906976744186046,0.85,0.7647058823529413,0.8666666666666667,0.6842105263157895
Michael Faraday,0.7741935483870969,0.72,0.8372093023255814,0.46846846846846846,0.38235294117647056,0.6046511627906976,0.6601941747572816,0.5666666666666667,0.7906976744186046,0.9090909090909091,0.9090909090909091,0.9090909090909091
John Herschel,0.7184466019417477,0.7115384615384616,0.7254901960784313,0.5833333333333334,0.5072463768115942,0.6862745098039216,0.7017543859649124,0.6349206349206349,0.7843137254901961,0.8936170212765957,0.9130434782608695,0.875
James McCosh,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.6206896551724138,0.6428571428571429,0.6,0.6666666666666666,0.6111111111111112,0.7333333333333333,0.7999999999999999,0.8571428571428571,0.75
Sir William Hamilton,0.7804878048780488,0.7111111111111111,0.8648648648648649,0.6987951807228915,0.6304347826086957,0.7837837837837838,0.7948717948717948,0.7560975609756098,0.8378378378378378,0.7027027027027027,0.7222222222222222,0.6842105263157895
Harriet Martineau,0.7951807228915664,0.717391304347826,0.8918918918918919,0.7374301675977654,0.6285714285714286,0.8918918918918919,0.7529411764705882,0.6666666666666666,0.8648648648648649,0.845360824742268,0.8541666666666666,0.8367346938775511
Mary Somerville,0.7885714285714285,0.71875,0.8734177215189873,0.6943005181347152,0.5877192982456141,0.8481012658227848,0.7885714285714285,0.71875,0.8734177215189873,0.851063829787234,0.8695652173913043,0.8333333333333334
