name,method,category,mentions,length,gender
Sophie Bryant,spacy,maths,11,3183,female
Sophie Bryant,wikidata,maths,1,3183,female
Oliver Byrne (mathematician),spacy,maths,21,4527,male
Oliver Byrne (mathematician),wikidata,maths,1,4527,male
John Edward Campbell,spacy,maths,18,2663,male
John Edward Campbell,wikidata,maths,5,2663,male
G. S. Carr,spacy,maths,7,860,male
G. S. Carr,wikidata,maths,2,860,male
John Casey (mathematician),spacy,maths,8,2311,male
John Casey (mathematician),wikidata,maths,1,2311,male
Arthur Cayley,spacy,maths,29,9321,male
Arthur Cayley,wikidata,maths,16,9321,male
Thomas Chalmers,spacy,maths,19,7758,male
Thomas Chalmers,wikidata,maths,16,7758,male
Samuel Hunter Christie,spacy,maths,10,1763,male
Samuel Hunter Christie,wikidata,maths,3,1763,male
John Colenso,spacy,maths,41,11455,male
John Colenso,wikidata,maths,20,11455,male
Allan J. C. Cunningham,spacy,maths,4,1202,male
Allan J. C. Cunningham,wikidata,maths,1,1202,male
Thomas Stephens Davies,spacy,maths,15,3194,male
Thomas Stephens Davies,wikidata,maths,4,3194,male
James Douglas Hamilton Dickson,spacy,maths,19,2485,male
James Douglas Hamilton Dickson,wikidata,maths,7,2485,male
Mary Edwards (human computer),spacy,maths,7,2228,female
Mary Edwards (human computer),wikidata,maths,3,2228,female
William Esson,spacy,maths,6,869,male
William Esson,wikidata,maths,1,869,male
Lewis Evans (mathematician),spacy,maths,9,1612,male
Lewis Evans (mathematician),wikidata,maths,5,1612,male
Norman Macleod Ferrers,spacy,maths,11,2630,male
Norman Macleod Ferrers,wikidata,maths,4,2630,male
Herschell Filipowski,spacy,maths,23,4498,male
Herschell Filipowski,wikidata,maths,2,4498,male
Andrew Forsyth,spacy,maths,13,1817,male
Andrew Forsyth,wikidata,maths,6,1817,male
William Galbraith (mathematician),spacy,maths,8,1577,male
William Galbraith (mathematician),wikidata,maths,2,1577,male
Thomas Galloway,spacy,maths,5,1332,male
Thomas Galloway,wikidata,maths,3,1332,male
Robert William Genese,spacy,maths,6,1865,male
Robert William Genese,wikidata,maths,3,1865,male
Thorold Gosset,spacy,maths,16,2299,male
Thorold Gosset,wikidata,maths,4,2299,male
John Hilton Grace,spacy,maths,10,10025,male
John Hilton Grace,wikidata,maths,1,10025,male
Robert Haldane (mathematician),spacy,maths,15,2352,male
Robert Haldane (mathematician),wikidata,maths,6,2352,male
William Rowan Hamilton,spacy,maths,83,24877,male
William Rowan Hamilton,wikidata,maths,34,24877,male
Thomas Heath (classicist),spacy,maths,23,4805,male
Thomas Heath (classicist),wikidata,maths,4,4805,male
Percy John Heawood,spacy,maths,9,2260,male
Percy John Heawood,wikidata,maths,4,2260,male
William Philip Hiern,spacy,maths,5,1608,male
