José Gervasio Artigas, 2, ['Auberon Herbert', 'Herbert Spencer']
Benedetto Croce, 2, ['Auberon Herbert', 'Herbert Spencer']
Camillo di Cavour, 2, ['Auberon Herbert', 'Herbert Spencer']
Ferenc Deák, 2, ['Auberon Herbert', 'Herbert Spencer']
Antoine Augustin Cournot, 1, ['William Stanley Jevons']
Mary Anne Jevons, 1, ['William Stanley Jevons']
Derrick Norman Lehmer, 1, ['William Stanley Jevons']
Hermann Heinrich Gossen, 1, ['William Stanley Jevons']
Carl Menger, 1, ['William Stanley Jevons']
John Edward Taylor, 1, ['William Stanley Jevons']
Irving Fisher, 1, ['William Stanley Jevons']
Herbert Stanley Jevons, 1, ['William Stanley Jevons']
Léon Walras, 1, ['William Stanley Jevons']
Henry John Stephen Smith, 1, ['William Kingdon Clifford']
Albert Einstein, 1, ['William Kingdon Clifford']
Robert Tucker (mathematician), 1, ['William Kingdon Clifford']
Alfred Kempe, 1, ['William Kingdon Clifford']
William Thomson, 1st Baron Kelvin, 1, ['William Kingdon Clifford']
Bernhard Riemann, 1, ['William Kingdon Clifford']
John Collier (Pre-Raphaelite painter), 1, ['William Kingdon Clifford']
Sir Frederick Pollock, 3rd Baronet, 1, ['William Kingdon Clifford']
James Clerk Maxwell, 1, ['William Kingdon Clifford']
Hermann Grassmann, 1, ['William Kingdon Clifford']
Lucy Clifford, 1, ['William Kingdon Clifford']
Arthur Black (mathematician), 1, ['William Kingdon Clifford']
William Spottiswoode, 1, ['William Kingdon Clifford']
John Hughlings Jackson, 1, ['William Kingdon Clifford']
Karl Pearson, 1, ['William Kingdon Clifford']
Humphry Davy, 1, ['Walking Stewart']
George Washington, 1, ['Walking Stewart']
John Timbs, 1, ['Walking Stewart']
Thomas Taylor (neoplatonist), 1, ['Walking Stewart']
James Sharples, 1, ['Walking Stewart']
Thomas De Quincey, 1, ['Walking Stewart']
Friedrich Engels, 1, ['Thomas Carlyle']
Ford Madox Brown, 1, ['Thomas Carlyle']
Anthony Trollope, 1, ['Thomas Carlyle']
Elizabeth Barrett Browning, 1, ['Thomas Carlyle']
Stanisław Brzozowski (writer), 1, ['Thomas Carlyle']
James Russell Lowell, 1, ['Thomas Carlyle']
Novalis, 1, ['Thomas Carlyle']
Thomas Hughes, 1, ['Thomas Carlyle']
Carlo Pellegrini (caricaturist), 1, ['Thomas Carlyle']
George Meredith, 1, ['Thomas Carlyle']
Anthony Panizzi, 1, ['Thomas Carlyle']
