Source,Target,weight,Type 
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,John 'Mad,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Chance,Michael Faraday,Undirected
Michael Faraday,Charles Lyell,Michael Faraday,Undirected
Michael Faraday,County Durham,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Chain,Michael Faraday,Undirected
Michael Faraday,Buoy Store,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Christmas,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Benjamin Abbott,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Michael Faraday Memorial,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Chain,Michael Faraday,Undirected
Michael Faraday,Buoy Store,Michael Faraday,Undirected
Michael Faraday,Faraday Gardens,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Michael Faraday Primary,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Deep River,Michael Faraday,Undirected
Michael Faraday,Virginia,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,John Templeton,Michael Faraday,Undirected
Michael Faraday,Michael Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Huxley,Michael Faraday,Undirected
Michael Faraday,T. H. Huxley,Michael Faraday,Undirected
Michael Faraday,Matthew Arnold,Michael Faraday,Undirected
Michael Faraday,Julian Huxley,Michael Faraday,Undirected
Michael Faraday,Andrew Huxley,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Shakespeare,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,” Calling Faraday,Michael Faraday,Undirected
Michael Faraday,Margaret Thatcher,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday Medal,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Davy,Michael Faraday,Undirected
Michael Faraday,John Murray,Michael Faraday,Undirected
Michael Faraday,Richard,Michael Faraday,Undirected
Michael Faraday,John Edward Taylor,Michael Faraday,Undirected
Michael Faraday,Richard Taylor,Michael Faraday,Undirected
Michael Faraday,William Francis,Michael Faraday,Undirected
Michael Faraday,Francis.,Michael Faraday,Undirected
Michael Faraday,W. Crookes,Michael Faraday,Undirected
Michael Faraday,W. Crookes,Michael Faraday,Undirected
Michael Faraday,T. Martin,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,B. Bowers,Michael Faraday,Undirected
Michael Faraday,L. Symons,Michael Faraday,Undirected
Michael Faraday,James,Michael Faraday,Undirected
Michael Faraday,Inc. ISBN,Michael Faraday,Undirected
Michael Faraday,Alice Jenkins,Michael Faraday,Undirected
Michael Faraday,Michael Faraday's Mental Exercises,Michael Faraday,Undirected
Michael Faraday,Artisan Essay Circle,Michael Faraday,Undirected
Michael Faraday,R. Griffin,Michael Faraday,Undirected
Michael Faraday,Edinburgh: W.F. Clay,Michael Faraday,Undirected
Michael Faraday,Faraday,Michael Faraday,Undirected
Michael Faraday,Schoenbein,Michael Faraday,Undirected
