Source,Target,weight,Type 
Mary Somerville,Langrenus,Mary Somerville,Undirected
Mary Somerville,James Clerk Maxwell,Mary Somerville,Undirected
Mary Somerville,Thomas Telford,Mary Somerville,Undirected
Mary Somerville,Woronzow Greig,Mary Somerville,Undirected
Mary Somerville,Count Semyon,Mary Somerville,Undirected
Mary Somerville,Samuel Greig,Mary Somerville,Undirected
Mary Somerville,Woronzow,Mary Somerville,Undirected
Mary Somerville,Agnes Graham,Mary Somerville,Undirected
Mary Somerville,Margaret Farquhar Somerville,Mary Somerville,Undirected
Mary Somerville,Thomas Somerville,Mary Somerville,Undirected
Mary Somerville,Martha Charters Somerville,Mary Somerville,Undirected
Mary Somerville,Mary Charlotte Somerville,Mary Somerville,Undirected
Mary Somerville,Mary,Mary Somerville,Undirected
Mary Somerville,Mary Somerville   ,Mary Somerville,Undirected
