Source,Target,weight,Type 
Mary Somerville,Jessie Saxby,Mary Somerville,Undirected,
Mary Somerville,Jessie Stephen,Mary Somerville,Undirected,
Mary Somerville,Joanna Baillie,Mary Somerville,Undirected,
Mary Somerville,John Bonnycastle,Mary Somerville,Undirected,
Mary Somerville,John Herschel,Mary Somerville,Undirected,
Mary Somerville,John J. O'Connor,Mary Somerville,Undirected,
Mary Somerville,John McAusland Denny,Mary Somerville,Undirected,
Mary Somerville,John Murray,Mary Somerville,Undirected,
Mary Somerville,John Playfair,Mary Somerville,Undirected,
Mary Somerville,John Robertson,Mary Somerville,Undirected,
Mary Somerville,John Stuart Mill,Mary Somerville,Undirected,
Mary Somerville,Kepler,Mary Somerville,Undirected,
Mary Somerville,Lady Griselda Cheape,Mary Somerville,Undirected,
Mary Somerville,Laura Grey,Mary Somerville,Undirected,
Mary Somerville,Lavinia Malcolm,Mary Somerville,Undirected,
Mary Somerville,Letitia Elizabeth Landon,Mary Somerville,Undirected,
Mary Somerville,Lila Clunas,Mary Somerville,Undirected,
Mary Somerville,Lilly Maxwell,Mary Somerville,Undirected,
Mary Somerville,Somerville College,Mary Somerville,Undirected,
Mary Somerville,Somerville College,Mary Somerville,Undirected,
Mary Somerville,Somerville College,Mary Somerville,Undirected,
Mary Somerville,Byron,Mary Somerville,Undirected,
Mary Somerville,Louis-Benjamin Francœur,Mary Somerville,Undirected,
Mary Somerville,Louisa Lumsden,Mary Somerville,Undirected,
Mary Somerville,Louisa Macdonald,Mary Somerville,Undirected,
Mary Somerville,Louisa Stevenson,Mary Somerville,Undirected,
Mary Somerville,Louise Eates,Mary Somerville,Undirected,
Mary Somerville,Lowell Observatory,Mary Somerville,Undirected,
Mary Somerville,Lucy Burns,Mary Somerville,Undirected,
Mary Somerville,Maggie Moffat,Mary Somerville,Undirected,
Mary Somerville,Margaret Davidson,Mary Somerville,Undirected,
Mary Somerville,Margaret Irwin,Mary Somerville,Undirected,
Mary Somerville,Margaret Macfarlane,Mary Somerville,Undirected,
Mary Somerville,Margaret McPhun,Mary Somerville,Undirected,
Mary Somerville,Margaret Milne Farquharson,Mary Somerville,Undirected,
Mary Somerville,Margaret Mylne,Mary Somerville,Undirected,
Mary Somerville,Margaret Neill,Mary Somerville,Undirected,
Mary Somerville,Margaret Skinnider,Mary Somerville,Undirected,
Mary Somerville,Margaret Skirving Gibb,Mary Somerville,Undirected,
Mary Somerville,Maria Edgeworth,Mary Somerville,Undirected,
Mary Somerville,Maria Mitchell,Mary Somerville,Undirected,
Mary Somerville,Marion Gilchrist,Mary Somerville,Undirected,
Mary Somerville,Marion Kirkland Reid,Mary Somerville,Undirected,
Mary Somerville,Mary Anderson Snodgrass,Mary Somerville,Undirected,
Mary Somerville,Mary Anne Baikie,Mary Somerville,Undirected,
Mary Somerville,Mary Bell,Mary Somerville,Undirected,
Mary Somerville,Mary Burton,Mary Somerville,Undirected,
Mary Somerville,Mary Crudelius,Mary Somerville,Undirected,
Mary Somerville,Mary Macarthur,Mary Somerville,Undirected,
Mary Somerville,Mary Maloney,Mary Somerville,Undirected,
Mary Somerville,Mary Murdoch,Mary Somerville,Undirected,
Mary Somerville,Mary Phillips,Mary Somerville,Undirected,
Mary Somerville,Mary Pollock Grant,Mary Somerville,Undirected,
Mary Somerville,Mary R. Somerville,Mary Somerville,Undirected,
Mary Somerville,Mary Somerville,Mary Somerville,Undirected,
Mary Somerville,Mary Somerville,Mary Somerville,Undirected,
Mary Somerville,Mary Sophia Allen,Mary Somerville,Undirected,
Mary Somerville,Arncliffe Sennett,Mary Somerville,Undirected,
Mary Somerville,Maude Edwards,Mary Somerville,Undirected,
Mary Somerville,Mona Chalmers Watson,Mary Somerville,Undirected,
Mary Somerville,Muriel Scott,Mary Somerville,Undirected,
Mary Somerville,Muriel Thompson,Mary Somerville,Undirected,
Mary Somerville,Naples,Mary Somerville,Undirected,
Mary Somerville,Philosophiæ Naturalis Principia,Mary Somerville,Undirected,
Mary Somerville,Pierre-Simon Laplace,Mary Somerville,Undirected,
Mary Somerville,Project Gutenberg,Mary Somerville,Undirected,
Mary Somerville,Rachel Scott,Mary Somerville,Undirected,
Mary Somerville,Robyn Arianrhod,Mary Somerville,Undirected,
Mary Somerville,Samuel Greig,Mary Somerville,Undirected,
Mary Somerville,Sarah Mair,Mary Somerville,Undirected,
Mary Somerville,Shakespeare,Mary Somerville,Undirected,
Mary Somerville,James Mackintosh,Mary Somerville,Undirected,
Mary Somerville,Somerville College,Mary Somerville,Undirected,
Mary Somerville,Somerville College,Mary Somerville,Undirected,
Mary Somerville,Somerville,Mary Somerville,Undirected,
Mary Somerville,Berlin Heidelberg,Mary Somerville,Undirected,
Mary Somerville,Sylvestre François Lacroix,Mary Somerville,Undirected,
Mary Somerville,Sylvia Murray,Mary Somerville,Undirected,
Mary Somerville,Thomas Bruce,Mary Somerville,Undirected,
Mary Somerville,Thomas Martin Lindsay,Mary Somerville,Undirected,
Mary Somerville,Thomas Phillips,Mary Somerville,Undirected,
Mary Somerville,Thomas Somerville,Mary Somerville,Undirected,
Mary Somerville,Thomas Telford,Mary Somerville,Undirected,
Mary Somerville,Virgil,Mary Somerville,Undirected,
Mary Somerville,Walter Scott,Mary Somerville,Undirected,
Mary Somerville,Whigs,Mary Somerville,Undirected,
Mary Somerville,Hay Abbott,Mary Somerville,Undirected,
Mary Somerville,William Edward Parry,Mary Somerville,Undirected,
Mary Somerville,William George Fairfax,Mary Somerville,Undirected,
Mary Somerville,William Somerville,Mary Somerville,Undirected,
Mary Somerville,William Wallace,Mary Somerville,Undirected,
